                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9442,                  3.273,                 2.0307,                 1.7102,                0.48446,                 0.7913,                0.58064,                0.29495,                0.40151,                0.72174,                0.39358,                0.17274,                 1.5182,                 2.8829,                 1.6905,                 1.4235,                0.00016,                0.00016,                0.00016
                      1,                 1.3013,                 2.4889,                  1.231,                 1.2625,                0.36366,                0.85217,                0.68302,                0.37671,                0.35252,                0.82609,                0.63016,                0.31284,                 1.5565,                 3.4721,                 6.5707,                 1.2842,             0.00032317,             0.00032317,             0.00032317
                      2,                 1.3409,                 1.9201,                 1.2424,                 1.3277,                0.86207,                0.65217,                0.87211,                0.45269,                0.71264,                0.53913,                0.66932,                0.30732,                  1.431,                 4.2314,                 8.1612,                 1.3442,             0.00046852,             0.00046852,             0.00046852
                      3,                  1.297,                 2.3835,                 1.0739,                  1.222,                0.49366,                0.83934,                0.59932,                0.28075,                0.42479,                0.74783,                0.46992,                 0.1896,                 1.6839,                 3.7444,                 4.2876,                 1.3045,             0.00059605,             0.00059605,             0.00059605
                      4,                 1.3598,                 1.9411,                 1.0926,                 1.2863,                0.45233,                0.94783,                 0.7565,                0.38627,                0.28777,                0.89565,                0.63116,                0.29309,                 1.5582,                 3.7928,                 12.712,                  1.348,             0.00070576,             0.00070576,             0.00070576
                      5,                  1.283,                  1.988,                 1.3255,                 1.2155,                0.45278,                0.76266,                0.45083,                0.15806,                0.39008,                0.70435,                0.32936,                0.14485,                  2.163,                 6.3512,                 13.473,                 1.7108,             0.00079765,             0.00079765,             0.00079765
                      6,                 1.5038,                 2.1256,                 1.2851,                  1.353,                0.47877,                0.63478,                0.45729,                0.19305,                0.35838,                0.61201,                0.25971,                  0.122,                 2.0641,                 5.1315,                 8.6226,                 1.8243,             0.00087172,             0.00087172,             0.00087172
                      7,                 1.3297,                 2.1286,                 1.4175,                 1.2727,                0.47691,                0.47826,                0.44968,                 0.2304,                0.44108,                0.37391,                0.33674,                0.12652,                 2.0489,                 9.5281,                 3.2933,                  1.704,             0.00092797,             0.00092797,             0.00092797
                      8,                 1.4678,                 2.7462,                  1.247,                 1.3464,                0.47691,                0.47826,                0.44968,                 0.2304,                0.44108,                0.37391,                0.33674,                0.12652,                 2.0489,                 9.5281,                 3.2933,                  1.704,              0.0009664,              0.0009664,              0.0009664
                      9,                 1.4302,                 2.6234,                 1.3075,                 1.3033,                0.15852,                0.71304,                0.13365,                0.07336,                0.14091,                0.57391,                 0.1081,                0.04074,                 1.7655,                 3.7993,                 5.3736,                 1.4654,             0.00098701,             0.00098701,             0.00098701
                     10,                  1.679,                 2.9102,                 1.4145,                  1.519,                0.15852,                0.71304,                0.13365,                0.07336,                0.14091,                0.57391,                 0.1081,                0.04074,                 1.7655,                 3.7993,                 5.3736,                 1.4654,              0.0009898,              0.0009898,              0.0009898
                     11,                 1.5768,                 2.5941,                 1.2851,                  1.489,                 0.6424,                0.82609,                0.74605,                0.42754,                0.60199,                    0.6,                0.61514,                0.26427,                 1.4555,                 3.6271,                   2.36,                 1.2933,               0.000911,               0.000911,               0.000911
                     12,                 1.6417,                 2.7278,                 1.3199,                 1.5583,                 0.6424,                0.82609,                0.74605,                0.42754,                0.60199,                    0.6,                0.61514,                0.26427,                 1.4555,                 3.6271,                   2.36,                 1.2933,               0.000911,               0.000911,               0.000911
                     13,                 1.6061,                 2.8627,                 1.3192,                 1.4574,                0.62466,                0.73043,                0.71516,                0.35106,                0.53586,                0.62609,                0.55004,                0.23464,                 1.6678,                 4.0877,                 2.1697,                 1.4008,               0.000812,               0.000812,               0.000812
                     14,                 1.6267,                 2.8091,                 1.1938,                 1.4951,                0.86807,                0.80101,                0.85898,                0.43239,                0.77274,                0.71304,                0.71893,                0.31016,                 1.6211,                 3.3441,                 1.5953,                 1.3949,               0.000713,               0.000713,               0.000713
                     15,                 1.5778,                 2.5566,                 1.4225,                 1.5483,                0.86807,                0.80101,                0.85898,                0.43239,                0.77274,                0.71304,                0.71893,                0.31016,                 1.6211,                 3.3441,                 1.5953,                 1.3949,               0.000614,               0.000614,               0.000614
                     16,                 1.7528,                 2.6092,                 1.3604,                 1.5516,                0.73573,                0.84348,                0.86572,                0.43845,                 0.5733,                0.73043,                0.62963,                0.32677,                 1.4697,                 3.1147,                   1.35,                 1.3463,               0.000515,               0.000515,               0.000515
                     17,                 1.6602,                  2.817,                 1.2534,                 1.5579,                0.73573,                0.84348,                0.86572,                0.43845,                 0.5733,                0.73043,                0.62963,                0.32677,                 1.4697,                 3.1147,                   1.35,                 1.3463,               0.000416,               0.000416,               0.000416
