                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.494,                 3.1984,                 2.0715,                0.04708,                0.98261,                0.32175,                0.14955,                 1.3091,                 2.7911,                 1.2414,                  4e-05,                  4e-05,                  4e-05
                      1,                 2.1235,                 3.1517,                 1.7787,                0.04792,                      1,                0.29524,                0.11156,                 1.7156,                 2.8094,                 1.3721,              9.901e-05,              9.901e-05,              9.901e-05
                      2,                 1.5926,                 2.5756,                  1.382,                0.04708,                0.98261,                0.22631,                0.07625,                 1.8879,                 2.7526,                 1.5043,             0.00015683,             0.00015683,             0.00015683
                      3,                 1.4054,                 2.0218,                 1.2284,                0.43345,                0.25217,                0.31591,                0.14854,                  1.566,                  2.444,                 1.3548,             0.00021347,             0.00021347,             0.00021347
                      4,                 1.2578,                 1.7441,                 1.1842,                0.51571,                 0.2593,                0.33396,                0.16913,                 1.4709,                 2.2572,                 1.2799,             0.00026891,             0.00026891,             0.00026891
                      5,                 1.3025,                 1.5763,                 1.1908,                0.48801,                0.33043,                0.49076,                0.25393,                 1.4243,                 1.9586,                 1.2378,             0.00032317,             0.00032317,             0.00032317
                      6,                 1.1552,                  1.314,                 1.1507,                0.58465,                0.48696,                 0.5919,                0.27934,                 1.5131,                 1.8749,                 1.2697,             0.00037624,             0.00037624,             0.00037624
                      7,                 1.2283,                 1.2727,                 1.1826,                0.52915,                0.66454,                0.57158,                0.27536,                 1.7825,                 1.6718,                 1.2743,             0.00042812,             0.00042812,             0.00042812
                      8,                 1.2542,                 1.2288,                 1.1672,                0.41964,                0.73913,                0.48207,                0.23105,                   1.75,                 1.5543,                 1.1947,             0.00047882,             0.00047882,             0.00047882
                      9,                 1.2222,                 1.1177,                 1.1583,                0.42383,                0.82609,                0.60295,                0.32317,                 1.4536,                 1.4086,                 1.0894,             0.00052832,             0.00052832,             0.00052832
                     10,                 1.1726,                 1.0904,                 1.1442,                0.45961,                0.77391,                 0.6728,                0.41132,                 1.3055,                 1.3516,                 1.0809,             0.00057664,             0.00057664,             0.00057664
                     11,                 1.2159,                  1.079,                 1.1583,                0.50717,                0.85909,                0.70519,                0.41729,                 1.3109,                 1.3395,                 1.0956,             0.00062377,             0.00062377,             0.00062377
                     12,                  1.234,                 1.0933,                 1.1813,                 0.5065,                0.84787,                0.67784,                0.38227,                 1.3968,                 1.3361,                 1.1175,             0.00066971,             0.00066971,             0.00066971
                     13,                 1.1192,                 1.1417,                 1.1824,                0.56248,                0.72174,                0.64943,                0.33853,                 1.4852,                 1.3927,                 1.1407,             0.00071447,             0.00071447,             0.00071447
                     14,                 1.1303,                 1.1242,                 1.1624,                0.49618,                0.82609,                0.61163,                0.30683,                 1.5267,                 1.4819,                 1.1562,             0.00075803,             0.00075803,             0.00075803
                     15,                 1.2247,                 1.1124,                 1.1783,                0.48601,                    0.8,                0.62377,                0.36178,                  1.332,                 1.4574,                  1.109,             0.00080041,             0.00080041,             0.00080041
                     16,                 1.2245,                 1.0447,                 1.1328,                0.43719,                0.91304,                0.59623,                0.33844,                 1.3224,                 1.4528,                  1.111,              0.0008416,              0.0008416,              0.0008416
                     17,                 1.2017,                 1.0836,                 1.1239,                0.45253,                0.84348,                0.60158,                0.32104,                 1.4119,                 1.5221,                 1.1391,              0.0008816,              0.0008816,              0.0008816
                     18,                 1.2146,                 1.0719,                 1.1452,                0.52995,                0.76522,                0.69402,                0.39471,                 1.3031,                 1.4529,                 1.1297,             0.00092042,             0.00092042,             0.00092042
                     19,                 1.1166,                0.97548,                 1.1081,                0.50184,                0.85217,                0.68417,                0.36005,                 1.4079,                  1.805,                 1.2084,             0.00095804,             0.00095804,             0.00095804
                     20,                  1.172,                0.99028,                 1.0963,                0.50323,                    0.8,                0.56002,                  0.285,                 1.5691,                 2.5509,                 1.2864,             0.00099448,             0.00099448,             0.00099448
                     21,                 1.1646,                0.97166,                 1.0964,                0.54768,                0.75652,                0.67529,                0.33897,                 1.5386,                 1.7738,                 1.2571,              0.0010297,              0.0010297,              0.0010297
                     22,                 1.1384,                 0.9731,                 1.1005,                0.54768,                0.75652,                0.67529,                0.33897,                 1.5386,                 1.7738,                 1.2571,              0.0010638,              0.0010638,              0.0010638
                     23,                 1.1067,                0.94621,                 1.1206,                0.70338,                    0.6,                0.63528,                0.38676,                 1.3933,                 1.5699,                 1.2748,              0.0010967,              0.0010967,              0.0010967
                     24,                 1.1515,                 0.9758,                 1.1366,                0.69244,                 0.5913,                0.62714,                0.37835,                 1.5283,                 1.5482,                 1.3274,              0.0011284,              0.0011284,              0.0011284
                     25,                 1.1244,                0.95569,                 1.1265,                0.78082,                    0.6,                0.69571,                0.35645,                  1.801,                 1.4327,                 1.3389,              0.0011588,              0.0011588,              0.0011588
                     26,                 1.1157,                 0.9347,                 1.1119,                0.78082,                    0.6,                0.69571,                0.35645,                  1.801,                 1.4327,                 1.3389,              0.0011882,              0.0011882,              0.0011882
